Timestep,Score
16000,-0.10000000000000142
32000,-0.10000000000000142
48000,-0.10000000000000142
64000,-0.10000000000000142
79840,-100.0
94608,-100.0
110608,-0.10000000000000142
121520,-100.0
128512,-100.0
137632,-100.0
147344,-100.0
161088,-100.0
177088,-0.10000000000000142
193088,-0.09999999999999964
209088,-0.10000000000000142
225088,-0.10000000000000142
241088,-0.10000000000000142
257088,-0.10000000000000142
273088,-0.10000000000000142
289088,-0.10000000000000142
305088,-0.10000000000000142
321088,-0.10000000000000142
337088,-0.10000000000000142
353088,-0.10000000000000142
369088,-0.10000000000000009
385088,-0.10000000000000142
401088,-0.10000000000000142
417088,-0.10000000000000142
433088,-0.10000000000000142
449088,-0.09999999999999964
465088,-0.10000000000000142
481088,-0.09999999999999432
497088,-0.09999999999999432
513088,-0.10000000000000142
529088,-0.09999999999999432
545088,-0.09999999999999432
561088,-0.09999999999999432
577088,-0.09999999999999964
593088,-0.09999999999999432
609088,-0.09999999999999432
625088,-0.09999999999999964
641088,-0.09999999999999964
657088,-0.09999999999999432
673088,-0.10000000000002274
689088,-0.09999999999999964
705088,-0.10000000000000142
721088,-0.09999999999999432
737088,-0.10000000000000142
753088,-0.09999999999999432
769088,-0.09999999999999432
785088,-0.09999999999999432
801088,-0.10000000000000142
817088,-0.10000000000000142
833088,-0.10000000000002274
849088,-0.09999999999999964
865088,-0.10000000000000142
881088,-0.09999999999999432
897088,-0.09999999999999432
913088,-0.09999999999999964
929088,-0.09999999999999432
945088,-0.09999999999999432
961088,-0.09999999999999432
977088,-0.10000000000000142
993088,-0.09999999999999432
1009088,-0.10000000000000142
1025088,-0.10000000000000142
1041088,-0.10000000000002274
1057088,-0.09999999999999432
1073088,-0.10000000000000142
1089088,-0.10000000000000142
1105088,-0.10000000000000142
1121088,-0.09999999999999432
1137088,-0.09999999999999964
1153088,-0.10000000000000142
1169088,-0.09999999999999432
1185088,-0.09999999999999432
1201088,-0.10000000000000142
1217088,-0.10000000000002274
1233088,-0.09999999999999432
1249088,-0.10000000000000142
1265088,-0.09999999999999432
1281088,-0.10000000000000142
1297088,-0.09999999999999964
1313088,-0.10000000000000142
1329088,-0.10000000000000142
1345088,-0.09999999999999432
1361088,-0.10000000000000142
1377088,-0.09999999999999432
1393088,-0.09999999999999432
1409088,-0.10000000000000142
1425088,-0.10000000000000142
1441088,-0.10000000000000142
1457088,-0.10000000000000142
1473088,-0.10000000000002274
1489088,-0.10000000000002274
1505088,-0.10000000000002274
1521088,-0.09999999999999964
1537088,-0.10000000000000142
1553088,-0.10000000000000142
1569088,-0.10000000000000142
1585088,-0.10000000000000142
1601088,-0.10000000000000142
1617088,-0.10000000000000142
1633088,-0.09999999999999432
1649088,-0.09999999999999432
1665088,-0.10000000000002274
1681088,-0.09999999999999964
1697088,-0.09999999999999432
1713088,-0.10000000000000142
1729088,3.4211267605633964
1745088,-0.09999999999999432
1761088,-0.10000000000000142
1777088,-0.09999999999999964
1793088,-0.09999999999999432
1809088,-0.09999999999999964
1825088,-0.10000000000000142
1841088,-0.10000000000002274
1857088,-0.09999999999999432
1873088,-0.09999999999999432
1889088,-0.09999999999999432
1905088,-0.09999999999999432
1921088,-0.10000000000000142
1937088,-0.10000000000002274
1953088,-0.09999999999999432
1969088,-0.09999999999999432
1985088,-0.09999999999999432
2001088,-0.09999999999999432
2017088,-0.10000000000002274
2033088,-0.09999999999999432
2049088,-0.10000000000002274
2065088,3.5496350364962836
