Timestep,Score,Won,Steps Alive
1308448,1,0,203
1308832,0,0,48
1309640,2,0,101
1310432,2,0,99
1311504,4,0,134
1312344,2,0,105
1312728,1,0,48
1313528,1,0,100
1314864,3,0,167
1315728,2,0,108
1316936,1,0,151
1317416,1,0,60
1319312,2,0,237
1320928,5,0,202
1321696,2,0,96
1323088,1,0,174
1323856,3,0,96
1324568,2,0,89
1326216,5,0,206
1327112,2,0,112
1332160,2,0,631
1332552,1,0,49
1333704,3,0,144
1334080,1,0,47
1334904,2,0,103
1336200,4,0,162
1336584,1,0,48
1337360,2,0,97
1338288,3,0,116
1340312,4,0,253
1342200,3,0,236
1344736,5,0,317
1345128,1,0,49
1345912,2,0,98
1346768,2,0,107
1348840,4,0,259
1349616,2,0,97
1350000,1,0,48
1351448,0,0,181
1352664,4,0,152
1353376,1,0,89
1353768,1,0,49
1354160,1,0,49
1355928,0,0,221
1362560,4,0,829
1363784,2,0,153
1364160,1,0,47
1364640,1,0,60
1365480,3,0,105
1367880,5,0,300
1368288,1,0,51
1369880,3,0,199
1370424,1,0,68
1372248,4,0,228
1372696,1,0,56
1374320,1,0,203
1374752,1,0,54
1375648,1,0,112
1376032,1,0,48
1376936,1,0,113
1378200,3,0,158
1380232,1,0,254
1381760,3,0,191
1382568,3,0,101
1382952,1,0,48
1383344,1,0,49
1385920,2,0,322
1386752,2,0,104
1388752,3,0,250
1389904,3,0,144
1390376,1,0,59
1390944,1,0,71
1392648,2,0,213
1393568,2,0,115
1393968,1,0,50
1394800,2,0,104
1397608,6,0,351
1398792,2,0,148
1400504,6,0,214
1400960,1,0,57
1401344,1,0,48
1403488,4,0,268
1404984,2,0,187
1405496,1,0,64
1405904,1,0,51
1408248,4,0,293
1409120,1,0,109
1409552,1,0,54
1411288,3,0,217
1412096,2,0,101
1412512,1,0,52
1416248,4,0,467
1418536,2,0,286
1419232,2,0,87
1420016,1,0,98
1422448,2,0,304
1423264,2,0,102
1424104,1,0,105
1424528,1,0,53
1425296,2,0,96
1425968,0,0,84
1427112,3,0,143
1430016,3,0,363
1432904,8,0,361
1433280,2,0,47
1434432,2,0,144
1435592,2,0,145
1437784,7,0,274
1440264,4,0,310
1440648,1,0,48
1443712,6,0,383
1445344,2,0,204
1446248,1,0,113
1446664,1,0,52
1447056,1,0,49
1447920,1,0,108
1448328,1,0,51
1449096,2,0,96
1450936,4,0,230
1452184,3,0,156
1455584,4,0,425
1457584,4,0,250
1458800,4,0,152
1459560,2,0,95
1460744,4,0,148
1461136,1,0,49
1462632,3,0,187
1463824,1,0,149
1465280,3,0,182
1465696,1,0,52
1468784,5,0,386
1470040,3,0,157
1470864,3,0,103
1471288,1,0,53
1471680,1,0,49
1472888,4,0,151
1473504,1,0,77
1474104,1,0,75
1474984,2,0,110
1475576,1,0,74
1477552,1,0,247
1478712,4,0,145
1479472,2,0,95
1479872,1,0,50
1480256,1,0,48
1480712,1,0,57
1482808,4,0,262
1483272,1,0,58
1483656,1,0,48
1485672,3,0,252
1486416,1,0,93
1488000,2,0,198
1488432,1,0,54
1489792,3,0,170
1490304,1,0,64
1491528,4,0,153
1492352,2,0,103
1492800,0,0,56
1493312,1,0,64
1493744,1,0,54
1494960,1,0,152
1495344,1,0,48
1497024,4,0,210
1497856,2,0,104
1498352,1,0,62
1498760,1,0,51
1499144,2,0,48
1499584,1,0,55
1499976,2,0,49
1500360,1,0,48
1502376,2,0,252
1503192,2,0,102
1505192,5,0,250
1506432,4,0,155
1507352,2,0,115
1509064,2,0,214
1509448,1,0,48
1510640,2,0,149
1514016,3,0,422
1515264,1,0,156
1515656,1,0,49
1516464,2,0,101
1516856,1,0,49
1517992,3,0,142
1519536,3,0,193
1522456,2,0,365
1524184,6,0,216
1524992,2,0,101
1525496,1,0,63
1526624,4,0,141
1527064,1,0,55
1527944,2,0,110
1528448,1,0,63
1530192,1,0,218
1530576,1,0,48
1530952,1,0,47
1531464,2,0,64
1532704,3,0,155
1538568,8,0,733
1539432,2,0,108
1540896,3,0,183
1541280,2,0,48
1542512,3,0,154
1544208,4,0,212
1544616,1,0,51
1546256,3,0,205
1546688,1,0,54
1547528,1,0,105
1549168,3,0,205
1549560,1,0,49
1549936,1,0,47
1552112,3,0,272
1554688,2,0,322
1555072,1,0,48
1555464,1,0,49
1556728,2,0,158
1557168,1,0,55
1557552,1,0,48
1558880,3,0,166
1560024,3,0,143
1561208,2,0,148
1562032,2,0,103
1562800,3,0,96
1563648,4,0,106
1565720,4,0,259
1568504,4,0,348
1569664,3,0,145
1570592,0,0,116
1571112,1,0,65
1572256,4,0,143
1575496,4,0,405
1577528,3,0,254
1577984,1,0,57
1578384,1,0,50
1580048,3,0,208
1581016,2,0,121
1582616,4,0,200
1582984,1,0,46
1583368,1,0,48
1583776,1,0,51
1585368,2,0,199
1588736,3,0,421
1589136,1,0,50
1590744,4,0,201
1591600,3,0,107
1593216,3,0,202
1594792,3,0,197
1595184,1,0,49
1595568,2,0,48
1595952,1,0,48
1596344,1,0,49
1596728,1,0,48
1597632,2,0,113
1598768,3,0,142
1600312,4,0,193
1602328,1,0,252
1604624,2,0,287
1605432,2,0,101
1608152,3,0,340
1609696,4,0,193
1611216,4,0,190
1611656,1,0,55
1613456,4,0,225
1614304,0,0,106
1614688,1,0,48
1615720,4,0,129
1617704,3,0,248
1618112,1,0,51
1619456,2,0,168
1619840,1,0,48
1620984,3,0,143
1623760,3,0,347
1626760,6,0,375
1629744,4,0,373
1631112,3,0,171
1631872,1,0,95
1634592,4,0,340
1635360,2,0,96
1636136,1,0,97
1637752,2,0,202
1638184,2,0,54
1638408,2,0,28
1639576,2,0,146
1640104,2,0,66
1642280,4,0,272
1643328,2,0,131
1643720,1,0,49
1644168,1,0,56
1644560,1,0,49
1645416,2,0,107
1646784,4,0,171
1650112,4,0,416
1650912,1,0,100
1652208,4,0,162
1653400,1,0,149
1653792,1,0,49
1655400,1,0,201
1656208,1,0,101
1658248,1,0,255
1660688,2,0,305
1662960,5,0,284
1665080,6,0,265
1669016,3,0,492
1669400,1,0,48
1673216,2,0,477
1674536,1,0,165
1675296,2,0,95
1676472,1,0,147
1677672,2,0,150
1678120,1,0,56
1678504,1,0,48
1679312,2,0,101
1679736,1,0,53
1681712,2,0,247
1682664,4,0,119
1683864,3,0,150
1684328,1,0,58
1686056,2,0,216
1688536,3,0,310
1691080,1,0,318
1691480,1,0,50
1691864,1,0,48
1693056,3,0,149
1693504,1,0,56
1696328,2,0,353
1696712,2,0,48
1699120,2,0,301
1702328,4,0,401
1702712,2,0,48
1707760,2,0,631
1711008,4,0,406
1712520,2,0,189
1714560,4,0,255
1719064,7,0,563
1719512,1,0,56
1719976,1,0,58
1720328,1,0,44
1720792,1,0,58
1721576,2,0,98
1722416,3,0,105
1723648,2,0,154
1724880,2,0,154
1728784,7,0,488
1729168,1,0,48
1729536,1,0,46
1730000,1,0,58
1731632,2,0,204
1733056,3,0,178
1734568,2,0,189
1735096,1,0,66
1736032,4,0,117
1737088,2,0,132
1739784,3,0,337
1741656,2,0,234
1745720,3,0,508
1747616,6,0,237
1747992,2,0,47
1749952,4,0,245
1751560,5,0,201
1752456,3,0,112
1752872,1,0,52
1755512,3,0,330
1756712,2,0,150
1757472,2,0,95
1757856,1,0,48
1759104,3,0,156
1760256,3,0,144
1761040,3,0,98
1761824,1,0,98
1763848,3,0,253
1764616,2,0,96
1767264,4,0,331
1768456,2,0,149
1770080,5,0,203
1770512,1,0,54
1770920,0,0,51
1774328,7,0,426
1775888,3,0,195
1777472,2,0,198
1777864,1,0,49
1779016,3,0,144
1779400,1,0,48
1779776,2,0,47
1781760,5,0,248
1786344,4,0,573
1787480,1,0,142
1790328,3,0,356
1791152,1,0,103
1792784,6,0,204
1793992,3,0,151
1795984,3,0,249
1797216,4,0,154
1800008,2,0,349
1801192,2,0,148
1804928,3,0,467
1805320,1,0,49
1807928,3,0,326
1808360,1,0,54
1809160,2,0,100
1809560,1,0,50
1809976,1,0,52
1811144,2,0,146
1811984,2,0,105
1813120,3,0,142
1814296,2,0,147
1815184,2,0,111
1815560,2,0,47
1816360,2,0,100
1818416,2,0,257
1819744,1,0,166
1820136,1,0,49
1820544,1,0,51
1820984,1,0,55
1821376,1,0,49
1821768,1,0,49
1822936,3,0,146
1823704,2,0,96
1824480,1,0,97
1825648,4,0,146
1826424,3,0,97
1828832,3,0,301
1829688,2,0,107
1832056,2,0,296
1832432,1,0,47
1834456,3,0,253
1835720,3,0,158
1836984,3,0,158
1837376,1,0,49
1838144,1,0,96
1840064,3,0,240
1841584,3,0,190
1844944,4,0,420
1846688,4,0,218
1848352,2,0,208
1849152,0,0,100
1851664,3,0,314
1853752,6,0,261
1854184,1,0,54
1856392,2,0,276
1858984,4,0,324
1860184,2,0,150
1860568,1,0,48
1861712,2,0,143
1862504,2,0,99
1862888,1,0,48
1864424,4,0,192
1864808,1,0,48
1865984,2,0,147
1867784,4,0,225
1869320,3,0,192
1870104,2,0,98
1872192,3,0,261
1872624,1,0,54
1873000,1,0,47
1874576,2,0,197
1876352,2,0,222
1877528,2,0,147
1878672,3,0,143
1879056,1,0,48
1880280,3,0,153
1882600,3,0,290
1884168,2,0,196
1885920,3,0,219
1886296,1,0,47
1886680,1,0,48
1887056,0,0,47
1887448,1,0,49
1889976,4,0,316
1890800,1,0,103
1891592,3,0,99
1892048,1,0,57
1892432,2,0,48
1892816,1,0,48
1893192,1,0,47
1894096,3,0,113
1896456,3,0,295
1898488,6,0,254
1900552,1,0,258
1900960,1,0,51
1901768,2,0,101
1902952,3,0,148
1904560,4,0,201
1906520,2,0,245
1908336,2,0,227
1909096,2,0,95
1911464,5,0,296
1912640,3,0,147
1913848,2,0,151
1914232,1,0,48
1918208,6,0,497
1920848,4,0,330
1921264,1,0,52
1921656,0,0,49
1923704,2,0,256
1924104,0,0,50
1925552,3,0,181
1926688,2,0,142
1927064,1,0,47
1928208,2,0,143
1931384,2,0,397
1931816,2,0,54
1932616,3,0,100
1935056,5,0,305
1937928,3,0,359
1939176,2,0,156
1939560,1,0,48
1941264,4,0,213
1943208,6,0,243
1944120,1,0,114
1945304,3,0,148
1946472,3,0,146
1946856,0,0,48
1949256,4,0,300
1951392,2,0,267
1953256,2,0,233
1954424,4,0,146
1957088,6,0,333
1957520,2,0,54
1959560,2,0,255
1962024,1,0,308
1962432,1,0,51
1963616,3,0,148
1964760,3,0,143
1966048,2,0,161
1966168,1,0,15
1966552,2,0,48
1968624,2,0,259
1970616,4,0,249
1971056,0,0,55
1971440,0,0,48
1971872,1,0,54
1972248,1,0,47
1979000,3,0,844
1979400,1,0,50
1980744,1,0,168
1981928,3,0,148
1982912,2,0,123
1984088,3,0,147
1985296,3,0,151
1987216,2,0,240
1988088,3,0,109
1990120,4,0,254
1990576,1,0,57
1991568,1,0,124
1993144,1,0,197
1993912,2,0,96
1995432,5,0,190
1995816,1,0,48
1996632,2,0,102
1997048,0,0,52
1999376,2,0,291
2000568,2,0,149
2002344,3,0,222
2003184,1,0,105
2005656,6,0,309
2006088,1,0,54
2007096,2,0,126
2008512,3,0,177
2009736,2,0,153
2012592,4,0,357
2013760,3,0,146
2014144,1,0,48
2014912,2,0,96
2016368,3,0,182
2016792,0,0,53
2020320,4,0,441
2020904,1,0,73
2023008,4,0,263
2023408,0,0,50
2025328,2,0,240
2026112,2,0,98
2030688,7,0,572
2032072,2,0,173
2033264,2,0,149
2036640,6,0,422
2037888,4,0,156
2039224,1,0,167
2039608,1,0,48
2040776,3,0,146
2041968,3,0,149
2042432,1,0,58
2042880,0,0,56
2044048,2,0,146
2044480,0,0,54
2046528,4,0,256
2047760,3,0,154
2050488,4,0,341
2051704,3,0,152
2053328,2,0,203
2054136,2,0,101
2054552,1,0,52
2058840,9,0,536
2059600,2,0,95
2061176,2,0,197
2062024,2,0,106
2062472,1,0,56
2063120,1,0,81
2063744,1,0,78
2064856,3,0,139
2066952,4,0,262
2068920,5,0,246
2069704,1,0,98
2070088,1,0,48
2070472,2,0,48
2071312,2,0,105
2073328,5,0,252
2074488,3,0,145
2077296,2,0,351
2079200,4,0,238
2080280,1,0,135
2084312,6,0,504
2085088,2,0,97
2086192,2,0,138
2086568,0,0,47
2091816,4,0,656
2093464,3,0,206
2097368,2,0,488
2097824,1,0,57
2099440,3,0,202
2101096,4,0,207
2102240,2,0,143
2103032,2,0,99
2104176,2,0,143
2105584,2,0,176
2106032,1,0,56
2107176,3,0,143
2108312,3,0,142
2109928,3,0,202
2110344,1,0,52
2113544,3,0,400
2114680,3,0,142
2115856,1,0,147
2119704,6,0,481
2121848,5,0,268
2123008,2,0,145
2123408,1,0,50
2124264,1,0,107
2124728,1,0,58
2126640,6,0,239
2129912,2,0,409
2130320,1,0,51
2131472,4,0,144
2131888,1,0,52
2132272,1,0,48
2133416,3,0,143
2135504,4,0,261
2137448,3,0,243
2138624,3,0,147
2139024,0,0,50
2140232,2,0,151
2141448,1,0,152
2142600,2,0,144
2143376,2,0,97
2143760,1,0,48
2145312,2,0,194
2147136,4,0,228
2148216,2,0,135
2150672,5,0,307
2151536,0,0,108
2151920,2,0,48
2153232,3,0,164
2154400,3,0,146
2154800,1,0,50
2155568,2,0,96
2157616,2,0,256
2161192,5,0,447
2161624,1,0,54
2162696,3,0,134
2165936,3,0,405
2167504,5,0,196
2168280,2,0,97
2169920,5,0,205
2171944,5,0,253
2173456,3,0,189
2176368,2,0,364
2177944,4,0,197
2180264,3,0,290
2181976,1,0,214
2183224,3,0,156
2183608,1,0,48
2183992,1,0,48
2187400,6,0,426
2188160,2,0,95
2189296,4,0,142
2190544,3,0,156
2191736,3,0,149
2192120,1,0,48
2193848,1,0,216
2195936,4,0,261
2196728,2,0,99
2197112,1,0,48
2197496,0,0,48
2199968,2,0,309
2200856,3,0,111
2201240,0,0,48
2202008,2,0,96
2204592,3,0,323
2206168,3,0,197
2206552,1,0,48
2208160,3,0,201
2210976,3,0,352
2211920,4,0,118
2213064,1,0,143
2213496,1,0,54
2215392,4,0,237
2216248,2,0,107
2217136,2,0,111
2217904,2,0,96
2219104,2,0,150
2219488,0,0,48
2219872,0,0,48
2220632,2,0,95
2223176,6,0,318
2224800,3,0,203
2228336,4,0,442
2232408,4,0,509
2233264,1,0,107
2233648,1,0,48
2234032,1,0,48
2235176,1,0,143
2236368,2,0,149
2237152,1,0,98
2239968,4,0,352
2240568,1,0,75
2242480,3,0,239
2243288,2,0,101
2245904,5,0,327
2247064,3,0,145
2248216,2,0,144
2249464,1,0,156
2249984,1,0,65
2250824,1,0,105
2251992,2,0,146
2256528,3,0,567
2257672,3,0,143
2258912,4,0,155
2260104,0,0,149
2260488,1,0,48
2262552,2,0,258
2263320,2,0,96
2263752,1,0,54
2264512,1,0,95
2265728,4,0,152
2267432,3,0,213
2267816,1,0,48
2270216,7,0,300
2271824,3,0,201
2273864,4,0,255
2275016,4,0,144
2275448,1,0,54
2275864,1,0,52
2276296,0,0,54
2276680,1,0,48
2277760,3,0,135
2278600,0,0,105
2280616,5,0,252
2280992,1,0,47
2282184,3,0,149
2283736,5,0,194
2287160,4,0,428
2288024,2,0,108
2288408,1,0,48
2289168,2,0,95
2290712,3,0,193
2291888,1,0,147
2294520,6,0,329
2294952,1,0,54
2295352,1,0,50
2296128,3,0,97
2296896,2,0,96
2297984,4,0,136
2299216,5,0,154
2300352,3,0,142
2301944,2,0,199
2303664,4,0,215
2304824,3,0,145
2305592,1,0,96
2306824,3,0,154
2307576,2,0,94
2308728,2,0,144
2309520,2,0,99
2311656,2,0,267
2313632,3,0,247
2314768,2,0,142
2315648,2,0,110
2316056,1,0,51
2316920,2,0,108
2317304,1,0,48
2319240,2,0,242
2320392,3,0,144
2321192,2,0,100
2322336,3,0,143
2324856,5,0,315
2326952,2,0,262
2328432,3,0,185
2329256,2,0,103
2330824,5,0,196
2331584,2,0,95
2332072,0,0,61
2332480,1,0,51
2335616,4,0,392
2338808,3,0,399
2339232,1,0,53
2340824,2,0,199
2342440,3,0,202
2344080,3,0,205
2346928,3,0,356
2347344,1,0,52
2349016,4,0,209
2352896,4,0,485
2354920,1,0,253
2356544,4,0,203
2357400,2,0,107
2357776,2,0,47
2359008,4,0,154
2360624,3,0,202
2361840,4,0,152
2363672,3,0,229
2364848,3,0,147
2366360,3,0,189
2366744,1,0,48
2367528,1,0,98
2369944,4,0,302
2372456,5,0,314
2374840,3,0,298
2375744,3,0,113
2377656,4,0,239
2379568,5,0,239
2379952,1,0,48
2380384,0,0,54
2381544,3,0,145
2384440,3,0,362
2386848,2,0,301
2388832,3,0,248
2390480,0,0,206
2392464,4,0,248
2395016,5,0,319
2397816,5,0,350
2398248,1,0,54
2398704,1,0,57
2400648,3,0,243
2401816,3,0,146
2402784,1,0,121
2404672,4,0,236
2405504,2,0,104
2408128,4,0,328
2408456,1,0,41
2409640,1,0,148
2410464,2,0,103
2412728,5,0,283
2413128,1,0,50
2413512,1,0,48
2416352,3,0,355
2419048,5,0,337
2419904,3,0,107
2421176,3,0,159
2423240,4,0,258
2424872,1,0,204
2426488,2,0,202
2427632,3,0,143
2428048,0,0,52
2429264,2,0,152
2430480,2,0,152
2432400,5,0,240
2434832,3,0,304
2435968,3,0,142
2439248,7,0,410
2439672,1,0,53
2444616,6,0,618
2445352,1,0,92
2448176,3,0,353
2449328,3,0,144
2449744,1,0,52
2451032,3,0,161
2452000,2,0,121
2454016,3,0,252
2457632,4,0,452
2458912,2,0,160
2459344,1,0,54
2460512,3,0,146
2460912,1,0,50
2462064,3,0,144
2464456,0,0,299
2465712,4,0,157
2466952,3,0,155
2468120,3,0,146
2469352,3,0,154
2471680,1,0,291
2473832,4,0,269
2475536,3,0,213
2476696,2,0,145
2477840,3,0,143
2481280,3,0,430
2481664,0,0,48
2484112,4,0,306
2487352,3,0,405
2489640,3,0,286
2492944,5,0,413
2495016,2,0,259
2496224,1,0,151
2499744,2,0,440
2500640,1,0,112
2501784,2,0,143
2502968,2,0,148
2503392,1,0,53
2504656,4,0,158
2505488,2,0,104
2506864,3,0,172
2509336,5,0,309
2510584,1,0,156
2512208,3,0,203
2512592,1,0,48
2513816,2,0,153
2515040,4,0,153
2515888,3,0,106
2516672,2,0,98
2517568,2,0,112
2518712,3,0,143
2519848,3,0,142
2523200,3,0,419
2526144,2,0,368
2526624,1,0,60
2528648,5,0,253
2529520,2,0,109
2531936,3,0,302
2533344,4,0,176
2534520,3,0,147
2536544,4,0,253
2537712,3,0,146
2538840,5,0,141
2541256,6,0,302
2542400,2,0,143
2542784,0,0,48
2543936,3,0,144
2546720,3,0,348
2548384,2,0,208
2549352,1,0,121
2550112,2,0,95
2550744,1,0,79
2551888,2,0,143
2552280,1,0,49
2555856,6,0,447
2555984,1,0,16
2557264,3,0,160
2557648,0,0,48
2559688,3,0,255
2560528,1,0,105
2562536,2,0,251
2562920,1,0,48
2563304,1,0,48
2564480,3,0,147
2569912,3,0,679
2570672,2,0,95
2572152,3,0,185
2574064,3,0,239
2574448,1,0,48
2578912,5,0,558
2579296,0,0,48
2581168,2,0,234
2582424,1,0,157
2584072,3,0,206
2585240,3,0,146
2585664,1,0,53
2586048,1,0,48
2590768,1,0,590
2593648,2,0,360
2594792,2,0,143
2596720,4,0,241
2600128,1,0,426
2600512,1,0,48
2600944,2,0,54
2602128,3,0,148
2603536,3,0,176
2603920,1,0,48
2608176,4,0,532
2609432,3,0,157
2612064,4,0,329
2612448,1,0,48
2613632,3,0,148
2615272,3,0,205
2617688,4,0,302
2618072,1,0,48
2618880,3,0,101
2619272,1,0,49
2621392,3,0,265
2621520,1,0,16
2621896,1,0,47
2625280,4,0,423
2626120,2,0,105
2629840,2,0,465
2633032,5,0,399
2634416,3,0,173
2635184,2,0,96
2636016,2,0,104
2637304,3,0,161
2637688,0,0,48
2637832,1,0,18
2640304,3,0,309
2641128,2,0,103
2643240,1,0,264
2643712,1,0,59
2645136,2,0,178
2648384,3,0,406
2650592,6,0,276
2651368,2,0,97
2651752,1,0,48
2653440,4,0,211
2654672,3,0,154
2655440,2,0,96
2656960,3,0,190
2657712,2,0,94
2658888,2,0,147
2659272,1,0,48
2660112,2,0,105
2661248,3,0,142
2662048,2,0,100
2662840,2,0,99
2663216,0,0,47
2664088,1,0,109
2667800,2,0,464
2669056,4,0,157
2670224,2,0,146
2671056,3,0,104
2671448,1,0,49
2672600,3,0,144
2673048,1,0,56
2678872,4,0,728
2680496,3,0,203
2683728,4,0,404
2685296,2,0,196
2686488,3,0,149
2687736,4,0,156
2689952,4,0,277
2691584,2,0,204
2693104,2,0,190
2693872,3,0,96
2696344,3,0,309
2697512,3,0,146
2701664,7,0,519
2702048,1,0,48
2703296,4,0,156
2706464,2,0,396
2707696,2,0,154
2708120,1,0,53
2710136,3,0,252
2710896,2,0,95
2711664,2,0,96
2712984,3,0,165
2714280,3,0,162
2715488,0,0,151
2716232,1,0,93
2719272,6,0,380
2720136,3,0,108
2720520,1,0,48
2721344,2,0,103
2721872,1,0,66
2723464,4,0,199
2725064,3,0,200
2726288,2,0,153
2727048,2,0,95
2728240,3,0,149
2728624,2,0,48
2731224,4,0,325
2732368,3,0,143
2733288,1,0,115
2734440,3,0,144
2735616,3,0,147
2737272,4,0,207
2738032,2,0,95
2740896,6,0,358
2741656,1,0,95
2742080,1,0,53
2743264,2,0,148
2743672,1,0,51
2745736,3,0,258
2746120,1,0,48
2748184,1,0,258
2749344,2,0,145
2751264,4,0,240
2752928,2,0,208
2756272,4,0,418
2757056,2,0,98
2758248,3,0,149
2759096,2,0,106
2760232,3,0,142
2761056,1,0,103
2762000,2,0,118
2764320,1,0,290
2765184,1,0,108
2766344,2,0,145
2767920,4,0,197
2770968,4,0,381
2773072,5,0,263
2774720,3,0,206
2775528,2,0,101
2775912,1,0,48
2777080,1,0,146
2778712,4,0,204
2780408,1,0,212
2780880,1,0,59
2782024,2,0,143
2783256,1,0,154
2785688,3,0,304
2788064,4,0,297
2789880,4,0,227
2791496,4,0,202
2794896,6,0,425
2796928,4,0,254
2798472,4,0,193
2799656,2,0,148
2800824,1,0,146
2804936,5,0,514
2805352,1,0,52
2805920,0,0,71
2807520,4,0,200
2807952,1,0,54
2808792,1,0,105
2809968,2,0,147
2810416,1,0,56
2812552,4,0,267
2813312,1,0,95
2814448,3,0,142
2815600,3,0,144
2815992,0,0,49
2817248,4,0,157
2818056,2,0,101
2821304,4,0,406
2822936,1,0,204
2823384,1,0,56
2825464,4,0,260
2826624,3,0,145
2827032,1,0,51
2828552,5,0,190
2829000,1,0,56
2830224,3,0,153
2833000,1,0,347
2835448,5,0,306
2838320,3,0,359
2839456,2,0,142
2840256,1,0,100
2840640,1,0,48
2843488,1,0,356
2843944,1,0,57
2845480,3,0,192
2849584,2,0,513
2850824,2,0,155
2852376,3,0,194
2854120,3,0,218
2858200,2,0,510
2859352,3,0,144
2860992,4,0,205
2861376,1,0,48
2862600,2,0,153
2867896,5,0,662
2868280,0,0,48
2868704,1,0,53
2870328,4,0,203
2870728,1,0,50
2871600,2,0,109
2871992,1,0,49
2873272,2,0,160
2874080,2,0,101
2874520,1,0,55
2875280,2,0,95
2878248,4,0,371
2879896,5,0,206
2881792,1,0,237
2882944,2,0,144
2883368,1,0,53
2883592,1,0,28
2884720,2,0,141
2885992,2,0,159
2886800,2,0,101
2887280,1,0,60
2888600,2,0,165
2890232,2,0,204
2893048,2,0,352
2893440,0,0,49
2894768,3,0,166
2896368,3,0,200
2901600,7,0,654
2903616,1,0,252
2904376,2,0,95
2906416,4,0,255
2907224,2,0,101
2908088,2,0,108
2910016,5,0,241
2910416,0,0,50
2911560,3,0,143
2914456,2,0,362
2915240,2,0,98
2917224,3,0,248
2918120,0,0,112
2920224,4,0,263
2921056,1,0,104
2923720,5,0,333
2924856,3,0,142
2927696,4,0,355
2929336,0,0,205
2929720,2,0,48
2930864,3,0,143
2933104,4,0,280
2934368,3,0,158
2934784,0,0,52
2937144,3,0,295
2939600,2,0,307
2940008,1,0,51
2940392,0,0,48
2941656,3,0,158
2942440,0,0,98
2943664,3,0,153
2944584,2,0,115
2946680,3,0,262
2949064,1,0,298
2949648,2,0,73
2951664,3,0,252
2954880,3,0,402
2958400,4,0,440
2962376,1,0,497
2965560,1,0,398
2966760,3,0,150
2967896,3,0,142
2969504,5,0,201
2969920,1,0,52
2977984,2,0,1008
2978400,1,0,52
2978816,1,0,52
2979560,2,0,93
2979936,2,0,47
2980320,0,0,48
2981160,2,0,105
2985120,2,0,495
2985520,0,0,50
2987200,3,0,210
2988744,5,0,193
2989592,2,0,106
2991192,3,0,200
2991576,1,0,48
2992320,1,0,93
2993120,2,0,100
2994376,1,0,157
2998040,5,0,458
3000640,4,0,325
3001808,2,0,146
3002616,2,0,101
3003848,4,0,154
3004232,0,0,48
3006616,3,0,298
3009088,4,0,309
3009464,1,0,47
3012712,2,0,406
3014768,2,0,257
3016568,1,0,225
3018616,0,0,256
3021152,3,0,317
3022360,2,0,151
3023048,0,0,86
3023808,1,0,95
3024648,2,0,105
3025032,1,0,48
3025416,1,0,48
3027376,1,0,245
3027784,1,0,51
3028928,3,0,143
3029360,1,0,54
3031480,4,0,265
3032312,2,0,104
3033072,2,0,95
3033456,1,0,48
3034232,2,0,97
3036640,4,0,301
3040512,4,0,484
3042080,4,0,196
3044080,3,0,250
3047872,2,0,474
3048648,2,0,97
3051624,2,0,372
3052776,2,0,144
3056872,2,0,512
3058088,2,0,152
3059272,1,0,148
3060136,2,0,108
3064248,2,0,514
3067016,3,0,346
3067408,0,0,49
3068168,2,0,95
3070120,3,0,244
3071328,2,0,151
3072920,3,0,199
3076968,7,0,506
3077352,1,0,48
3078672,3,0,165
3083040,1,0,546
3084672,3,0,204
3085816,3,0,143
3087384,4,0,196
3087768,1,0,48
3089336,2,0,196
3089784,1,0,56
3090168,1,0,48
3092160,3,0,249
3092544,1,0,48
3094592,5,0,256
3097936,3,0,418
3099920,1,0,248
3101416,1,0,187
3102560,3,0,143
3103488,2,0,116
3103864,1,0,47
3104248,0,0,48
3107088,3,0,355
3107472,0,0,48
3108240,2,0,96
3109848,6,0,201
3111448,3,0,200
3112224,2,0,97
3113480,2,0,157
3114304,2,0,103
3114976,1,0,84
3115416,1,0,55
3116984,2,0,196
3118592,4,0,201
3118976,1,0,48
3121752,4,0,347
3122192,1,0,55
3124776,3,0,323
3126416,2,0,205
3126800,1,0,48
3127568,2,0,96
3129144,3,0,197
3129752,2,0,76
3132584,2,0,354
3132968,0,0,48
3135160,4,0,274
3135920,2,0,95
3136344,1,0,53
3137824,4,0,185
3139352,4,0,191
3140200,2,0,106
3141016,2,0,102
3142592,2,0,197
3143760,3,0,146
3146160,2,0,300
3147712,1,0,194
3148864,2,0,144
3151256,2,0,299
3153664,4,0,301
3154176,1,0,64
3154976,2,0,100
3157872,1,0,362
3158752,1,0,110
3159176,0,0,53
3160312,4,0,142
3161936,3,0,203
3165088,1,0,394
3166256,3,0,146
3166640,1,0,48
3167784,1,0,143
3168176,0,0,49
3170808,6,0,329
3172416,1,0,201
3172808,1,0,49
3174696,3,0,236
3175456,2,0,95
3175896,1,0,55
3177632,3,0,217
3178504,1,0,109
3181568,2,0,383
3182768,2,0,150
3183752,1,0,123
3188024,4,0,534
3189648,4,0,203
3191624,4,0,247
3193648,4,0,253
3194424,3,0,97
3195368,3,0,118
3197264,4,0,237
3198712,3,0,181
3199096,1,0,48
3200232,2,0,142
3201464,4,0,154
3202624,3,0,145
3203768,3,0,143
3206680,3,0,364
3208312,3,0,204
3208704,1,0,49
3209888,2,0,148
3212000,2,0,264
3216000,0,0,500
3216384,1,0,48
3218296,4,0,239
3219080,2,0,98
3219840,2,0,95
3224856,2,0,627
3225240,1,0,48
3226064,2,0,103
3226904,3,0,105
3227288,1,0,48
